"X_STATE","IMONTH","mean_mental","State"
29,"03",3.90697674418605,"Missouri"
29,"04",3.8972972972973,"Missouri"
29,"05",4.28117359413203,"Missouri"
29,"06",4.00827423167849,"Missouri"
29,"07",3.60441176470588,"Missouri"
29,"08",3.78409090909091,"Missouri"
29,"09",3.60412371134021,"Missouri"
29,"10",4.0939226519337,"Missouri"
29,"11",3.76884422110553,"Missouri"
29,"12",3.92514124293785,"Missouri"
30,"01",3.17319277108434,"Montana"
30,"02",3.60515021459227,"Montana"
30,"03",3.94011976047904,"Montana"
30,"04",3.50663129973475,"Montana"
30,"05",3.62756052141527,"Montana"
30,"06",3.45719178082192,"Montana"
30,"07",3.06666666666667,"Montana"
30,"08",3.18912529550827,"Montana"
30,"09",2.9438202247191,"Montana"
30,"10",3.29041095890411,"Montana"
30,"11",3.30989010989011,"Montana"
30,"12",4.12080536912752,"Montana"
31,"01",2.63087248322148,"Nebraska"
31,"02",2.95686900958466,"Nebraska"
31,"03",3.32023411371237,"Nebraska"
31,"04",3.18819776714514,"Nebraska"
31,"05",2.74030658250676,"Nebraska"
31,"06",3.26954397394137,"Nebraska"
31,"07",2.73744075829384,"Nebraska"
31,"08",3.34334763948498,"Nebraska"
31,"09",3.04545454545455,"Nebraska"
31,"10",3.38436123348018,"Nebraska"
31,"11",2.90684931506849,"Nebraska"
31,"12",2.78593040847201,"Nebraska"
32,"01",3.95959595959596,"Nevada"
32,"02",4.17894736842105,"Nevada"
32,"03",3.43712574850299,"Nevada"
32,"04",3.87581699346405,"Nevada"
32,"05",4.21176470588235,"Nevada"
32,"06",3.77941176470588,"Nevada"
32,"07",3.32923076923077,"Nevada"
32,"08",3.13138686131387,"Nevada"
32,"09",3.92692307692308,"Nevada"
32,"10",5.27218934911243,"Nevada"
32,"11",2.96078431372549,"Nevada"
32,"12",3.69655172413793,"Nevada"
33,"01",3.8231173380035,"New Hampshire"
33,"02",3.66542750929368,"New Hampshire"
33,"03",3.33613445378151,"New Hampshire"
33,"04",3.69797421731123,"New Hampshire"
33,"05",2.02120141342756,"New Hampshire"
33,"06",6.22222222222222,"New Hampshire"
33,"07",2.86475409836066,"New Hampshire"
33,"08",3.4910394265233,"New Hampshire"
33,"09",3.1689497716895,"New Hampshire"
33,"10",3.19905213270142,"New Hampshire"
33,"11",2.98809523809524,"New Hampshire"
33,"12",3.75324675324675,"New Hampshire"
34,"01",3.16638935108153,"New Jersey"
34,"02",2.87704918032787,"New Jersey"
34,"03",4.95918367346939,"New Jersey"
34,"04",4.32520325203252,"New Jersey"
34,"05",3.79466119096509,"New Jersey"
34,"06",3.67174515235457,"New Jersey"
34,"07",3.48498331479422,"New Jersey"
34,"08",3.75821727019499,"New Jersey"
34,"09",3.66666666666667,"New Jersey"
34,"10",3.62333333333333,"New Jersey"
34,"11",3.58333333333333,"New Jersey"
34,"12",3.26170332769318,"New Jersey"
35,"01",3.93525179856115,"New Mexico"
35,"02",3.96909492273731,"New Mexico"
35,"03",3.7515923566879,"New Mexico"
35,"04",4.06471816283925,"New Mexico"
35,"05",3.96705426356589,"New Mexico"
35,"06",3.9144893111639,"New Mexico"
35,"07",4.24375,"New Mexico"
35,"08",3.6712962962963,"New Mexico"
35,"09",4.52966101694915,"New Mexico"
35,"10",4.46931407942238,"New Mexico"
35,"11",4.23217922606925,"New Mexico"
35,"12",4.68388429752066,"New Mexico"
36,"01",3.49811320754717,"New York"
36,"02",3.54620853080569,"New York"
36,"03",3.89696312364425,"New York"
36,"04",3.85375494071146,"New York"
36,"05",4.02402022756005,"New York"
36,"06",3.62394195888755,"New York"
36,"07",3.37390213299875,"New York"
36,"08",3.76162790697674,"New York"
36,"09",3.78485576923077,"New York"
36,"10",4.02173913043478,"New York"
36,"11",3.81882145998241,"New York"
36,"12",3.47352024922118,"New York"
37,"01",3.70344827586207,"North Carolina"
37,"02",3.94505494505495,"North Carolina"
37,"03",3.57012195121951,"North Carolina"
37,"04",3.55,"North Carolina"
37,"05",4.27882037533512,"North Carolina"
37,"06",3.19647355163728,"North Carolina"
37,"07",3.49742268041237,"North Carolina"
37,"08",3.53367875647668,"North Carolina"
37,"09",3.86119873817035,"North Carolina"
37,"10",4.50546448087432,"North Carolina"
37,"11",4.08396946564886,"North Carolina"
37,"12",4.3898916967509,"North Carolina"
38,"01",2.39112050739958,"North Dakota"
38,"02",3.01677852348993,"North Dakota"
38,"03",3.02477876106195,"North Dakota"
38,"04",3.28804347826087,"North Dakota"
38,"05",2.75468164794008,"North Dakota"
38,"06",2.72979797979798,"North Dakota"
38,"07",2.30414746543779,"North Dakota"
38,"08",2.59375,"North Dakota"
38,"09",2.6036866359447,"North Dakota"
38,"10",2.64818024263432,"North Dakota"
38,"11",2.53956834532374,"North Dakota"
38,"12",2.8206106870229,"North Dakota"
39,"01",4.08769448373409,"Ohio"
39,"02",3.58925143953935,"Ohio"
39,"03",4.0979020979021,"Ohio"
39,"04",3.85483870967742,"Ohio"
39,"05",3.92347600518807,"Ohio"
39,"06",4.13782542113323,"Ohio"
39,"07",3.8633034987795,"Ohio"
39,"08",3.89127686472819,"Ohio"
39,"09",4.0987525987526,"Ohio"
39,"10",4.44866920152091,"Ohio"
39,"11",3.54912836767036,"Ohio"
39,"12",4.11780575539568,"Ohio"
40,"01",3.77007299270073,"Oklahoma"
40,"02",3.23197492163009,"Oklahoma"
40,"03",4.44393592677346,"Oklahoma"
40,"04",3.42227979274611,"Oklahoma"
40,"05",4.8641425389755,"Oklahoma"
40,"06",3.91139240506329,"Oklahoma"
40,"07",4.30864197530864,"Oklahoma"
40,"08",3.89292929292929,"Oklahoma"
40,"09",4.95430107526882,"Oklahoma"
40,"10",4.41481481481481,"Oklahoma"
40,"11",3.94014962593516,"Oklahoma"
40,"12",3.84064665127021,"Oklahoma"
41,"01",3.17241379310345,"Oregon"
41,"02",3.94318181818182,"Oregon"
41,"03",3.99797570850202,"Oregon"
41,"04",3.8563829787234,"Oregon"
41,"05",4.18673218673219,"Oregon"
41,"06",3.44920993227991,"Oregon"
41,"07",3.95468277945619,"Oregon"
41,"08",3.9813829787234,"Oregon"
41,"09",4.00958466453674,"Oregon"
41,"10",4.33431952662722,"Oregon"
41,"11",5.20327868852459,"Oregon"
